[stress-fem] dolfinx 0.11.0.post0
[stress-fem] lambda=0.700  sigma=-3.276e+04 Pa
[stress-fem] lambda=0.750  sigma=-2.501e+04 Pa
[stress-fem] lambda=0.800  sigma=-1.845e+04 Pa
[stress-fem] lambda=0.850  sigma=-1.282e+04 Pa
[stress-fem] lambda=0.900  sigma=-7964 Pa
[stress-fem] lambda=0.950  sigma=-3726 Pa
[stress-fem] lambda=1.000  sigma=-1.564e-12 Pa
[stress-fem] lambda=1.050  sigma=3300 Pa
[stress-fem] lambda=1.100  sigma=6241 Pa
[stress-fem] lambda=1.150  sigma=8881 Pa
[stress-fem] lambda=1.200  sigma=1.126e+04 Pa
[stress-fem] lambda=1.250  sigma=1.343e+04 Pa
[stress-fem] lambda=1.300  sigma=1.54e+04 Pa
[stress-fem] lambda=1.350  sigma=1.721e+04 Pa
[stress-fem] lambda=1.400  sigma=1.887e+04 Pa
[stress-fem] lambda=1.450  sigma=2.042e+04 Pa
[stress-fem] lambda=1.500  sigma=2.185e+04 Pa
[stress-fem] wrote /content/Newton/data/fem_stress_strain.npz  (max rel. dev. vs analytic = 1.56e-12)
